Marker	GenderAUC	ADAUC
marker_1568.18	0.592	0.645
marker_874.60	0.347	0.64
marker_810.615	0.483	0.63
marker_808.60	0.565	0.629
marker_856.59	0.497	0.616
marker_848.60	0.526	0.611
marker_1576.19	0.657	0.604
marker_1592.20	0.647	0.604
marker_878.6	0.529	0.601
marker_1618.20	0.591	0.599
marker_513.3	0.402	0.599
marker_587.3	0.424	0.582
marker_660.4	0.517	0.582
marker_830.57	0.542	0.58
marker_687.4	0.387	0.575
marker_1540.1661	0.578	0.569
marker_515.28	0.534	0.569
marker_804.6	0.424	0.568
marker_1126.8	0.453	0.567
marker_564.33	0.416	0.566
marker_1170.9	0.478	0.565
marker_1516.16	0.211	0.565
marker_560.35	0.496	0.561
marker_784.59	0.594	0.556
marker_821.334	0	0.555
marker_921.4	0.561	0.555
marker_1107.50	0.461	0.554
marker_1091.4	0.442	0.553
marker_531.25	0	0.55
marker_530.39	0	0.547
marker_778.55	0.513	0.545
marker_675.555	0.505	0.543
marker_1194.5332	0	0.541
marker_834.60	0.533	0.54
marker_583.3	0.476	0.539
marker_704.5	0.562	0.539
marker_734.5	0.536	0.539
marker_938.68	0	0.536
marker_790.57	0.536	0.53
marker_614.4	0.439	0.528
marker_880.6	0.544	0.521
marker_701.80	0.43	0.519
marker_1156.85	0.484	0.518
marker_1642.20	0.592	0.516
marker_730.59	0.528	0.515
marker_629.43	0.504	0.513
marker_701.5	0.553	0.512
marker_804.60	0.49	0.512
marker_542.3	0.541	0.511
marker_822.5	0.523	0.51
marker_1616.20	0.54	0.507
marker_602.30	0.37	0.507
marker_660.5	0.544	0.507
marker_752.3	0.311	0.504
marker_616.4	0.557	0.501
marker_653.422	0.461	0.501
marker_971.39	0.567	0.492
marker_1396.56	0.466	0.488
marker_989.26	0.58	0.487
marker_748.55	0.589	0.486
marker_791.6	0.54	0.483
marker_535.35	0.457	0.478
marker_626.4	0	0.477
marker_924.6	0.549	0.476
marker_861.63	0.543	0.465
marker_512.357	0.539	0.459
marker_502.34	0.542	0.457
marker_561.2	0.16	0.451
marker_744.581	0.543	0.447
marker_892.37	0	0.431
marker_708.26	0.26	0.425
marker_518.33	0.446	0.417
marker_758.5583	0	0.368
marker_690.82	0.161	0.346
marker_819.5	0.516	0.345
marker_574.3	0	0.343
marker_597.78265	0.464	0.244
marker_544.34	0.246	0.182
marker_1021.7	0.496	0
marker_520.33	0.51	0
marker_568.4	0.549	0
marker_832.61	0.502	0
